Generation,Genome,Fitness
0,0,-15.8911484358559
0,1,-3.37689183181926
0,2,0
1,0,0
1,1,-3.37689183181926
1,2,-15.8911484358559
2,0,0
2,1,-3.37689183181926
2,2,-15.8911484358559
3,0,0
3,1,-3.37689183181926
3,2,-15.8911484358559
4,0,0
4,1,-3.37689183181926
4,2,-15.8911484358559
5,0,0
5,1,-3.37689183181926
5,2,-15.8911484358559
6,0,0
6,1,-3.37689183181926
6,2,-15.8911484358559
7,0,0
7,1,-3.37689183181926
7,2,-15.8911484358559
8,0,0
8,1,-3.37689183181926
8,2,-15.8911484358559
9,0,0
9,1,-3.37689183181926
9,2,-15.8911484358559
10,0,0
10,1,-3.37689183181926
10,2,-15.8911484358559
11,0,0
11,1,-3.37689183181926
11,2,-15.8911484358559
12,0,0
12,1,-3.37689183181926
12,2,-15.8911484358559
13,0,0
13,1,-3.37689183181926
13,2,-15.8911484358559
14,0,0
14,1,-3.37689183181926
14,2,-15.8911484358559
15,0,0
15,1,-3.37689183181926
15,2,-15.8911484358559
16,0,0
16,1,-3.37689183181926
16,2,-15.8911484358559
